p_partkey,p_name,p_mfgr,p_brand,p_type,p_size,p_container,p_retailprice,p_comment
23,coral lavender seashell rosy burlywood,"Manufacturer#3","Brand#35",MEDIUM BURNISHED TIN,42,JUMBO JAR,923.02,ts haggle
24,seashell coral metallic midnight floral,"Manufacturer#5","Brand#52",MEDIUM PLATED STEEL,20,MED CASE,924.02,press requ
25,aquamarine steel firebrick light turquoise,"Manufacturer#5","Brand#55",STANDARD BRUSHED COPPER,3,JUMBO BAG,925.02,ites can dete
26,beige frosted moccasin chocolate snow,"Manufacturer#3","Brand#32",SMALL BRUSHED STEEL,32,SM CASE,926.02,ingly slyly eve
27,saddle puff beige linen yellow,"Manufacturer#1","Brand#14",LARGE ANODIZED TIN,20,MED PKG,927.02,never iron
28,navajo yellow drab white misty,"Manufacturer#4","Brand#44",SMALL PLATED COPPER,19,JUMBO PKG,928.02,ilent requests are 
29,lemon sky grey salmon orchid,"Manufacturer#3","Brand#33",PROMO PLATED COPPER,7,LG DRUM,929.02,rs across the reg
30,cream misty steel spring medium,"Manufacturer#4","Brand#42",PROMO ANODIZED TIN,17,LG BOX,930.03,requests. fur
31,slate seashell steel medium moccasin,"Manufacturer#5","Brand#53",STANDARD BRUSHED TIN,10,LG BAG,931.03,s. furious
32,sandy wheat coral spring burnished,"Manufacturer#4","Brand#42",ECONOMY PLATED BRASS,31,LG CASE,932.03,ithely after the ac
33,spring bisque salmon slate pink,"Manufacturer#2","Brand#22",ECONOMY PLATED NICKEL,16,LG PKG,933.03,ake fu
34,khaki steel rose ghost salmon,"Manufacturer#1","Brand#13",LARGE BRUSHED STEEL,8,JUMBO BOX,934.03, accounts. car
35,green blush tomato burlywood seashell,"Manufacturer#4","Brand#43",MEDIUM ANODIZED BRASS,14,JUMBO PACK,935.03,structions. cour
36,chiffon tan forest moccasin dark,"Manufacturer#2","Brand#25",SMALL BURNISHED COPPER,3,JUMBO CAN,936.03,egrate s
37,royal coral orange burnished navajo,"Manufacturer#4","Brand#45",LARGE POLISHED TIN,48,JUMBO BOX,937.03,s nag a
38,seashell papaya white mint brown,"Manufacturer#4","Brand#43",ECONOMY ANODIZED BRASS,11,SM JAR,938.03,l requests. fur
39,rose medium floral salmon powder,"Manufacturer#5","Brand#53",SMALL POLISHED TIN,43,JUMBO JAR,939.03,tructions are doggedly
40,lemon midnight metallic sienna steel,"Manufacturer#2","Brand#25",ECONOMY BURNISHED COPPER,27,SM CASE,940.04, sleep furiously 
41,burlywood goldenrod pink peru sienna,"Manufacturer#2","Brand#23",ECONOMY ANODIZED TIN,7,WRAP JAR,941.04,ccounts along the furi
42,midnight turquoise lawn beige thistle,"Manufacturer#5","Brand#52",MEDIUM BURNISHED TIN,45,LG BOX,942.04,haggle q
43,medium lace midnight royal chartreuse,"Manufacturer#4","Brand#44",PROMO POLISHED STEEL,5,WRAP CASE,943.04,refully carefully ev
44,saddle cream wheat lemon burnished,"Manufacturer#4","Brand#45",MEDIUM PLATED TIN,48,SM PACK,944.04,ideas after the blithe
45,lawn peru ghost khaki maroon,"Manufacturer#4","Brand#43",SMALL BRUSHED NICKEL,9,WRAP BAG,945.04,ages. 
46,honeydew turquoise aquamarine spring tan,"Manufacturer#1","Brand#11",STANDARD POLISHED TIN,45,WRAP CASE,946.04,ly quickly pending pa
47,honeydew red azure magenta brown,"Manufacturer#4","Brand#45",LARGE BURNISHED BRASS,14,JUMBO PACK,947.04,ourts acros
48,slate thistle cornsilk pale forest,"Manufacturer#5","Brand#53",STANDARD BRUSHED STEEL,27,JUMBO CASE,948.04,d the quickly 
49,light firebrick cyan puff blue,"Manufacturer#2","Brand#24",SMALL BURNISHED TIN,31,MED DRUM,949.04,earls h
50,linen blanched tomato slate medium,"Manufacturer#3","Brand#33",LARGE ANODIZED TIN,25,WRAP PKG,950.05,y regul
51,lime frosted indian dodger linen,"Manufacturer#4","Brand#45",ECONOMY BURNISHED NICKEL,34,JUMBO PACK,951.05, furiou
52,lemon midnight lace sky deep,"Manufacturer#3","Brand#35",STANDARD BURNISHED TIN,25,WRAP CASE,952.05,ccording to the dep
53,bisque rose cornsilk seashell purple,"Manufacturer#2","Brand#23",ECONOMY BURNISHED NICKEL,32,MED BAG,953.05,ts ca
54,blanched mint yellow papaya cyan,"Manufacturer#2","Brand#21",LARGE BURNISHED COPPER,19,WRAP CASE,954.05,refully pe
55,sky cream deep tomato rosy,"Manufacturer#2","Brand#23",ECONOMY BRUSHED COPPER,9,MED BAG,955.05,ing packages
56,antique beige brown deep dodger,"Manufacturer#1","Brand#12",MEDIUM PLATED STEEL,20,WRAP DRUM,956.05,press ideas
57,purple blue light sienna deep,"Manufacturer#3","Brand#32",MEDIUM BURNISHED BRASS,49,MED PKG,957.05,encies. 
58,linen hot cornsilk drab bisque,"Manufacturer#5","Brand#53",STANDARD POLISHED TIN,44,LG PACK,958.05,carefully around the s
59,misty brown medium mint salmon,"Manufacturer#5","Brand#53",MEDIUM POLISHED TIN,2,LG BAG,959.05,structions.
60,snow spring sandy olive tomato,"Manufacturer#1","Brand#11",LARGE POLISHED COPPER,27,JUMBO CASE,960.06,fully 
61,light tan linen tomato peach,"Manufacturer#5","Brand#54",SMALL BURNISHED NICKEL,18,WRAP DRUM,961.06, furiously regu
62,tan cornsilk spring grey chocolate,"Manufacturer#3","Brand#35",STANDARD BRUSHED BRASS,39,JUMBO BOX,962.06," the even, ironic theo"
63,burnished puff coral light papaya,"Manufacturer#3","Brand#32",STANDARD BURNISHED NICKEL,10,JUMBO CAN,963.06,carefully
64,aquamarine coral lemon ivory gainsboro,"Manufacturer#2","Brand#21",MEDIUM ANODIZED BRASS,1,JUMBO CAN,964.06,ly even packages 
65,slate drab medium puff gainsboro,"Manufacturer#5","Brand#53",MEDIUM BRUSHED COPPER,3,MED CAN,965.06,fully furiously final
66,cornflower pale almond lemon linen,"Manufacturer#3","Brand#35",PROMO ANODIZED NICKEL,46,SM CASE,966.06,thely after the reg
67,slate salmon rose spring seashell,"Manufacturer#2","Brand#21",SMALL BRUSHED TIN,31,WRAP DRUM,967.06,to beans lo
68,bisque ivory mint purple almond,"Manufacturer#1","Brand#11",PROMO ANODIZED STEEL,10,WRAP BOX,968.06,bove the carefu
69,lace burnished rosy antique metallic,"Manufacturer#5","Brand#52",MEDIUM POLISHED BRASS,2,SM BOX,969.06, snooze quickl
70,violet seashell firebrick dark navajo,"Manufacturer#1","Brand#11",STANDARD BRUSHED STEEL,42,LG PACK,970.07, dolphins. bli
71,violet firebrick cream peru white,"Manufacturer#3","Brand#33",STANDARD PLATED BRASS,26,WRAP DRUM,971.07, wake slyly. carefu
72,hot spring yellow azure dodger,"Manufacturer#2","Brand#23",STANDARD ANODIZED TIN,25,JUMBO PACK,972.07,ld deposits acro
73,cream moccasin royal dim chiffon,"Manufacturer#2","Brand#21",SMALL BRUSHED COPPER,35,WRAP DRUM,973.07,yly fluf
74,frosted grey aquamarine thistle papaya,"Manufacturer#5","Brand#55",ECONOMY ANODIZED BRASS,25,JUMBO CASE,974.07,lar depos
75,aquamarine maroon wheat salmon metallic,"Manufacturer#3","Brand#35",SMALL BURNISHED NICKEL,39,SM JAR,975.07,fter the slyly
76,rosy light lime puff sandy,"Manufacturer#3","Brand#34",MEDIUM BRUSHED COPPER,9,SM PKG,976.07,cuses sleep quickly
77,mint bisque chiffon snow firebrick,"Manufacturer#5","Brand#52",STANDARD BRUSHED COPPER,13,MED PKG,977.07, packa
78,blush forest slate seashell puff,"Manufacturer#1","Brand#14",ECONOMY POLISHED STEEL,24,LG JAR,978.07,ending pinto beans 
79,gainsboro pink grey tan almond,"Manufacturer#4","Brand#45",PROMO ANODIZED BRASS,22,JUMBO BAG,979.07, packages impress bli
80,tomato chartreuse coral turquoise linen,"Manufacturer#4","Brand#44",PROMO PLATED BRASS,28,MED CAN,980.08,kages are blithely aft
81,misty sandy cornsilk dodger blush,"Manufacturer#5","Brand#53",ECONOMY BRUSHED TIN,21,MED BAG,981.08,carefully even
82,khaki tomato purple almond tan,"Manufacturer#1","Brand#15",ECONOMY POLISHED TIN,12,WRAP BOX,982.08,structions. carefull
83,blush green dim lawn peru,"Manufacturer#1","Brand#12",PROMO BURNISHED NICKEL,47,SM CAN,983.08,. platel
84,salmon floral cream rose dark,"Manufacturer#4","Brand#45",SMALL ANODIZED NICKEL,26,JUMBO PACK,984.08,ly bold i
85,dim deep aquamarine smoke pale,"Manufacturer#5","Brand#55",PROMO ANODIZED NICKEL,16,LG BAG,985.08,ithely 
86,green blanched firebrick dim cream,"Manufacturer#4","Brand#44",STANDARD PLATED TIN,37,LG CASE,986.08,telets among the
87,purple lace seashell antique orange,"Manufacturer#4","Brand#41",LARGE PLATED STEEL,41,WRAP PACK,987.08,en excuse
88,lime orange bisque chartreuse lemon,"Manufacturer#4","Brand#44",PROMO PLATED COPPER,16,SM CASE,988.08,cuses nag carefully 
89,ghost lace lemon sienna saddle,"Manufacturer#5","Brand#53",STANDARD BURNISHED STEEL,7,MED JAR,989.08,lithely regula
90,hot rosy violet plum pale,"Manufacturer#5","Brand#51",ECONOMY POLISHED STEEL,49,JUMBO CAN,990.09,ronic
91,misty bisque lavender spring turquoise,"Manufacturer#2","Brand#21",STANDARD BRUSHED TIN,32,JUMBO PKG,991.09,quickly fin
92,blush magenta ghost tomato rose,"Manufacturer#2","Brand#22",STANDARD ANODIZED TIN,35,JUMBO PKG,992.09, requests sleep among 
93,pale yellow cornsilk dodger moccasin,"Manufacturer#2","Brand#24",LARGE ANODIZED TIN,2,WRAP DRUM,993.09,press d
94,blanched pink frosted mint snow,"Manufacturer#3","Brand#35",STANDARD POLISHED BRASS,32,SM BOX,994.09,theodolites. fl
95,dodger beige wheat orchid navy,"Manufacturer#3","Brand#33",LARGE BRUSHED TIN,36,WRAP DRUM,995.09,yly. carefully pend
96,chocolate light firebrick rose indian,"Manufacturer#5","Brand#53",STANDARD BRUSHED STEEL,32,SM CASE,996.09,ic forges aft
97,coral dodger beige black chartreuse,"Manufacturer#3","Brand#33",MEDIUM POLISHED BRASS,49,WRAP CAN,997.09,furiously unusual e
98,frosted peru chiffon yellow aquamarine,"Manufacturer#5","Brand#54",STANDARD ANODIZED BRASS,22,MED JAR,998.09,ests wa
99,mint grey purple sienna metallic,"Manufacturer#2","Brand#21",SMALL BURNISHED STEEL,11,JUMBO PKG,999.09,y eve
100,cyan orchid indian cornflower saddle,"Manufacturer#3","Brand#33",ECONOMY ANODIZED TIN,4,LG BAG,1000.10,blithely acc
