id,curta,com_path_raso,com_path_profundo,com_query,com_fragmento,padrao_id_variavel,multi_dominio,slug,hierarquica
14,example.com,https://example.com/about,https://shop.example.com/cat/sub/sub2/item,https://api.example.com/v1/users?id=11&fmt=json,https://docs.com/page#beta,https://api.example.com/v1/users/11,https://gmail.com,https://blog.com/como-fazer-cafe-frio,https://shop.example.com/cat-livro/sub-tecnico/item-pragmatic
15,foo.com,https://foo.com/help,https://api.foo.com/v2/orders/2026/05/cancel,https://api.example.com/v1/users?id=12,https://docs.com/page#gamma,https://api.example.com/v1/users/12,https://gmail.com,https://blog.com/como-fazer-cafe-frio,https://shop.example.com/cat-livro/sub-ficcao/item-1984
16,foo.com/with%20spaces,https://foo.com/path%20with%20spaces,https://shop.example.com/cat?q=tv%20led,https://x.com/?q=hello%20world,,https://api.example.com/v1/users/13,,,
17,localhost,http://localhost:8080,http://localhost:8080/api/v1/users,http://localhost?debug=1,,http://localhost/users/14,,,
18,127.0.0.1,http://127.0.0.1/admin,http://192.168.1.1/admin/config/network,http://10.0.0.1?token=abc,,http://192.168.1.1/users/15,,,
19,nao informado,,,,,,,,
20,,,,,,,,,
21,exemplo!.com,htps://example.com,https//example.com/path,https:/example.com?id=,#section_invalida,https://api.example.com//users/,,,
22,example.com,https://example.com/about,https://shop.example.com/cat/sub/sub2/item,https://api.example.com/v1/users?id=1&fmt=json,https://docs.com/page#section1,https://api.example.com/v1/users/1,https://gmail.com,https://blog.com/como-fazer-cafe-frio,https://shop.example.com/cat-eletronicos/sub-tv/item-led-50
23,example.com,https://example.com/contact,https://shop.example.com/cat/sub/sub2/item,https://api.example.com/v1/users?id=2&fmt=json,https://docs.com/page#section2,https://api.example.com/v1/users/2,https://yahoo.com,https://blog.com/dicas-de-cafe,https://shop.example.com/cat-eletronicos/sub-tv/item-led-55
24,example.com,https://example.com/about,https://shop.example.com/cat/sub/sub2/item,https://api.example.com/v1/users?id=3&fmt=json,https://docs.com/page#intro,https://api.example.com/v1/users/3,https://hotmail.com,https://blog.com/como-fazer-cafe-quente,https://shop.example.com/cat-eletronicos/sub-celular/item-galaxy-s23
25,example.com,https://example.com/about,https://shop.example.com/cat/sub/sub2/item,https://api.example.com/v1/users?id=1&fmt=json,https://docs.com/page#section1,https://api.example.com/v1/users/1,https://gmail.com,https://blog.com/como-fazer-cafe-frio,https://shop.example.com/cat-eletronicos/sub-tv/item-led-50
